,Client_Name,Client_Description,Revenue,Expenses,Total_Assets,Total_Liabilities,Operating_Cash_Flow,Investments,Debt,Industry,Profit,Equity
52,Tech Motors,Operations in technology,4662263.65,2678833.58,7214101.469999999,1033465.91,1269447.07,33758.44,4845737.41,Healthcare,1983430.0700000003,6180635.559999999
53,Dynamic Technologies,Operations in manufacturing,218107.72,1342744.38,7758133.39,3095549.89,1711059.77,746484.08,906165.32,Finance,-1124636.66,4662583.5
54,Global Enterprises,Operations in technology,869167.3,1417400.48,1629202.93,1046999.79,467892.31,748596.36,3298983.88,Retail,-548233.1799999999,582203.1399999999
55,Dynamic Motors,Operations in finance,2274492.9,1251362.02,1354787.34,826779.8,1671016.2,2531403.91,1445743.35,Retail,1023130.8799999999,528007.54
56,Alpha Holdings,Operations in healthcare,3820626.45,936469.58,7173062.631999999,3888905.6100000003,1545270.44,636129.1,2613011.29,Technology,2884156.87,3284157.021999999
57,Tech Solutions,Operations in retail,3925331.35,864853.03,5770684.85,3575346.86,1100481.75,984121.74,3707206.84,Retail,3060478.3200000003,2195337.9899999998
58,Green Technologies,Operations in technology,3016467.94,1716161.33,5940339.61,2245555.69,415293.54,1989717.5,2210798.956,Technology,1300306.6099999999,3694783.9200000004
59,Future Holdings,Operations in healthcare,943025.32,754457.89,8889783.17,2518710.33,670334.3,1845717.35,1167222.232,Finance,188567.42999999993,6371072.84
60,Global Group,Operations in finance,537669.24,2570825.47,3501170.02,4140605.16,672168.89,2462012.99,4742380.72,Manufacturing,-2033156.2300000002,-639435.1400000001
61,Dynamic Enterprises,Operations in healthcare,3796059.26,1494641.566,8878292.83,1528172.522,769165.94,2837469.24,3871689.75,Retail,2301417.6939999997,7350120.308
62,Pinnacle Group,Operations in finance,4735786.76,1375356.07,4903185.48,4683727.49,1179359.14,837669.84,3393732.47,Healthcare,3360430.6899999995,219457.99000000022
63,Dynamic Logistics,Operations in manufacturing,1912926.54,981850.39,5654460.67,4964602.46,210271.83,1458224.9,2929997.14,Retail,931076.15,689858.21
64,Quantum International,Operations in manufacturing,3099926.65,1065407.13,9843809.55,2299006.678,937354.92,1695833.04,447363.07,Manufacturing,2034519.52,7544802.872000001
65,Alpha Enterprises,Operations in technology,138647.62,1182663.888,8896544.72,630236.24,395525.27,1464409.02,1772720.054,Finance,-1044016.268,8266308.48
66,Global Corp,Operations in technology,2068886.052,2903485.71,4833692.15,3669918.06,103397.78,306856.59,2593657.59,Manufacturing,-834599.658,1163774.0900000003
67,Dynamic Logistics,Operations in manufacturing,2623227.45,1420208.67,6628625.848,4013495.59,1215750.524,1147380.92,1981452.7,Finance,1203018.7800000003,2615130.2580000004
68,Dynamic Enterprises,Operations in retail,2776899.95,1254123.31,6245653.18,3555370.4,1702426.32,2511486.27,2866795.136,Retail,1522776.6400000001,2690282.78
69,Alpha Holdings,Operations in manufacturing,2898837.94,603690.41,2574846.44,1246034.7,1398276.94,1853670.69,2240111.5,Retail,2295147.53,1328811.74
70,Global Logistics,Operations in manufacturing,569005.22,60257.43,3537761.97,998194.9,1129823.0900000003,2114623.67,3739540.5,Finance,508747.79,2539567.0700000003
71,Innovative Corp,Operations in healthcare,2191819.49,1523386.116,9010171.27,1374972.71,1485361.78,2469378.05,2282533.89,Technology,668433.3740000003,7635198.56
72,Tech Corp,Operations in healthcare,243455.91,534108.17,5894720.04,4988052.11,1124287.76,58621.4,2212551.23,Finance,-290652.26,906667.9299999997
73,Green Group,Operations in finance,1440046.61,93215.93,1604250.79,2596219.25,646141.44,855507.69,1094137.06,Technology,1346830.6800000002,-991968.46
74,Future Holdings,Operations in retail,3785314.37,2776328.01,3309228.48,1274649.34,1395407.43,2645344.82,3198656.68,Technology,1008986.3600000003,2034579.14
75,Quantum Corp,Operations in technology,110022.5,249100.78,1476434.5,3372218.23,1444389.92,1578874.36,1029276.19,Retail,-139078.28,-1895783.73
76,Dynamic Technologies,Operations in technology,2000739.86,1955629.35,2616961.78,3203166.72,1004234.12,2973827.55,1099404.57,Healthcare,45110.51000000001,-586204.9400000004
77,Zenith International,Operations in retail,3208759.19,577996.98,5485964.71,3204887.34,1625273.31,1505436.27,2868980.552,Finance,2630762.21,2281077.37
78,Future Group,Operations in technology,2182954.35,1108190.79,2319144.59,3630645.72,222590.89,2194702.2,4744632.87,Healthcare,1074763.56,-1311501.1300000004
79,Tech Enterprises,Operations in manufacturing,3394881.62,2305431.39,3858390.3,1061720.57,1366834.88,1317882.27,1269161.92,Retail,1089450.23,2796669.7299999995
80,Pinnacle Corp,Operations in finance,914566.71,2079265.52,9230925.79,1781041.31,839480.49,1442098.196,4562652.85,Technology,-1164698.81,7449884.479999999
81,Dynamic Systems,Operations in manufacturing,1082608.84,1998350.698,599842.19,4569112.44,1529691.28,97444.52,3840873.52,Technology,-915741.858,-3969270.2500000005
82,Innovative Motors,Operations in healthcare,3028877.4219999993,2048111.77,1716610.4420000003,442042.8,1601770.81,1784274.3,4048963.79,Technology,980765.6519999993,1274567.6420000002
83,Global Technologies,Operations in finance,2243819.98,575735.98,101904.26,4230802.25,730246.23,157481.09,2690069.78,Manufacturing,1668084.0,-4128897.99
84,Innovative Group,Operations in technology,3879741.36,2217119.19,4959016.68,980741.22,1724716.53,2489953.19,3795819.14,Retail,1662622.17,3978275.46
85,Future Technologies,Operations in healthcare,3200398.3,2406108.16,2052417.26,1248142.05,1528413.02,841207.4,3040934.46,Manufacturing,794290.1399999997,804275.21
86,Green Group,Operations in retail,245034.4,2211171.06,2116631.54,3748266.07,951907.05,1818286.84,3487514.28,Technology,-1966136.6600000001,-1631634.5299999998
87,Zenith Enterprises,Operations in technology,3014839.97,1700409.33,9052056.84,3662393.97,176424.41,468113.23,4025474.02,Finance,1314430.6400000001,5389662.869999999
88,Quantum Enterprises,Operations in retail,2309924.14,790263.74,6591473.318,1231628.98,1359303.03,2946632.67,2786393.28,Retail,1519660.4000000001,5359844.3379999995
89,Tech International,Operations in retail,1528100.69,2045917.89,541944.82,4382166.56,497371.04,1445757.21,2789819.88,Technology,-517817.19999999995,-3840221.7399999998
90,Pinnacle Solutions,Operations in retail,4341226.51,329830.34,207045.73,1763485.16,260316.43,580770.2,2544045.16,Finance,4011396.17,-1556439.43
91,Pinnacle Enterprises,Operations in finance,2202876.93,2033528.03,3217444.13,3505091.86,232022.5,788452.65,556660.7,Manufacturing,169348.90000000014,-287647.73
92,Innovative Motors,Operations in technology,1329099.55,530913.57,9833707.7,2845234.93,1440726.85,1963506.102,430536.61,Healthcare,798185.9800000001,6988472.77
93,Zenith Holdings,Operations in technology,3184749.85,1045952.83,8187546.07,2471207.24,1415883.85,1851395.17,1043921.45,Manufacturing,2138797.02,5716338.83
94,Tech Motors,Operations in manufacturing,1374693.9,1574724.9200000004,5978427.996000001,64113.34,597531.85,1528462.72,3812883.89,Manufacturing,-200031.02000000048,5914314.656000001
95,Future Logistics,Operations in technology,549184.99,2712364.05,6600241.65,921187.34,736853.37,63092.83,2699303.92,Healthcare,-2163179.0599999996,5679054.3100000005
96,Zenith Corp,Operations in healthcare,1647570.51,1089368.37,4484506.49,2873595.35,321684.82,913145.34,4791378.88,Technology,558202.1399999999,1610911.1400000001
97,Dynamic Corp,Operations in manufacturing,2130511.26,1531507.59,1594128.2,4135337.1,575702.71,1927965.34,4032340.494,Finance,599003.6699999997,-2541208.9000000004
98,Zenith Technologies,Operations in retail,3336626.066,1678751.9,5368707.4,3598161.99,412813.27,2940985.77,2454176.6580000003,Healthcare,1657874.1660000002,1770545.4100000001
99,Dynamic Solutions,Operations in manufacturing,63920.47,772519.01,6144768.97,2954666.26,750258.85,1335261.81,3176435.99,Retail,-708598.54,3190102.71
100,Innovative Enterprises,Operations in technology,2235199.43,2831744.58,4143882.28,1020312.98,1138030.54,944888.29,3716868.56,Retail,-596545.1499999999,3123569.3
101,Green Logistics,Operations in finance,2968130.5479999995,1040655.48,504170.43,1009959.91,967322.24,1333762.05,4237252.14,Retail,1927475.0679999995,-505789.48000000004
102,Dynamic International,Operations in manufacturing,228794.57,2448174.66,8277896.01,1132460.31,1808699.66,602744.52,4078240.35,Manufacturing,-2219380.0900000003,7145435.699999999
103,Dynamic Enterprises,Operations in manufacturing,2114837.99,2862080.17,7125980.63,2804537.97,1582910.57,2894246.54,3498481.89,Retail,-747242.1799999997,4321442.66
104,Dynamic Motors,Operations in healthcare,3732725.06,1973877.78,6119341.59,2295731.43,1967838.42,2002828.62,1321087.0,Finance,1758847.28,3823610.1599999997
105,Pinnacle Enterprises,Operations in retail,4026864.72,1590011.95,4416701.12,3604931.61,1253185.24,1323226.73,3769029.75,Manufacturing,2436852.7700000005,811769.5100000002
106,Tech Systems,Operations in technology,2152428.916,2488294.34,236392.23,1874319.63,1497727.58,1187883.21,2555250.59,Manufacturing,-335865.42399999965,-1637927.4
107,Future Systems,Operations in technology,303417.68,1314974.246,7372634.9,1626081.11,669599.47,2069039.61,1521492.89,Manufacturing,-1011556.5660000001,5746553.79
108,Pinnacle Solutions,Operations in technology,2241746.676,2818899.76,798898.98,975865.33,856117.69,1199229.566,662277.19,Healthcare,-577153.0839999998,-176966.34999999998
109,Dynamic Logistics,Operations in manufacturing,3899525.04,2457470.83,8607576.73,2574981.6000000006,1410310.2,688900.95,2072454.54,Technology,1442054.21,6032595.13
110,Pinnacle Holdings,Operations in healthcare,3149439.5719999997,2023924.89,3962966.16,789485.91,1615813.61,179255.45,1459614.1,Finance,1125514.6819999998,3173480.25
111,Dynamic Motors,Operations in manufacturing,710833.08,240756.73,3897002.7,2425562.3,401645.87,2666819.64,4984632.85,Manufacturing,470076.35,1471440.4000000004
112,Tech Group,Operations in finance,267723.87,2270744.72,6601711.84,356717.57,802558.16,2885409.84,1266207.03,Technology,-2003020.85,6244994.27
113,Dynamic Motors,Operations in manufacturing,4932054.52,2744023.82,5912498.26,77365.09,475803.83,2553026.01,3561810.21,Technology,2188030.6999999997,5835133.17
114,Zenith International,Operations in technology,4557828.04,2226111.58,7257394.95,3197653.84,235598.4,1772230.38,3456243.66,Finance,2331716.46,4059741.1100000003
115,Innovative Corp,Operations in manufacturing,4875007.98,2735870.66,2666455.45,712464.8,104659.9,361509.41,2289685.62,Finance,2139137.3200000003,1953990.6500000001
116,Global Holdings,Operations in technology,504342.32,790119.43,3559815.08,2107840.888,266019.15,1046541.66,3535110.8899999997,Healthcare,-285777.11000000004,1451974.1920000003
117,Alpha International,Operations in finance,3595204.78,1438162.082,4327018.73,4207658.59,1439603.0,2343928.02,3320306.12,Technology,2157042.698,119360.1400000006
118,Global Solutions,Operations in finance,1893698.06,989733.58,9030524.89,3436451.75,1846565.23,1307849.58,4790692.61,Retail,903964.4800000001,5594073.140000001
119,Innovative Motors,Operations in healthcare,559900.97,2324308.38,516949.38,2517754.98,1474396.64,1300084.28,3279967.17,Finance,-1764407.41,-2000805.6
120,Alpha International,Operations in healthcare,2725115.342,646704.11,6648735.26,1959157.81,805924.56,137905.32,2094204.97,Retail,2078411.2320000003,4689577.449999999
121,Global Technologies,Operations in manufacturing,1429159.08,1210743.84,8562487.03,4348642.12,488363.35,1253102.8460000001,512702.45,Technology,218415.24,4213844.909999999
122,Future Corp,Operations in technology,3809745.23,1590188.62,8554632.24,2411105.37,931200.1,2687509.47,4496370.59,Technology,2219556.61,6143526.87
123,Dynamic Motors,Operations in retail,3560444.42,2775290.41,4340221.69,357530.73,1328098.52,2909485.86,315979.44,Manufacturing,785154.0099999998,3982690.9600000004
124,Tech Solutions,Operations in healthcare,77427.48,1508870.15,6412765.3,3098318.22,1464850.97,2626930.05,3528888.3800000004,Retail,-1431442.67,3314447.0799999996
125,Future Group,Operations in retail,1798750.9919999999,2723067.79,1263067.94,1633115.58,1136513.26,755399.6,1378347.86,Manufacturing,-924316.7980000002,-370047.64000000013
126,Zenith Solutions,Operations in healthcare,4334471.97,1235847.21,6711224.42,1936996.4499999997,1611483.68,2974442.81,4548683.96,Retail,3098624.76,4774227.970000001
127,Pinnacle Technologies,Operations in retail,1455630.88,2307197.26,7084313.1,4772171.98,281060.81,21591.58,2260951.26,Technology,-851566.3799999999,2312141.119999999
128,Green International,Operations in manufacturing,2345832.96,1124873.36,2476178.27,3352947.07,1640688.35,2126200.37,484592.99,Finance,1220959.5999999999,-876768.7999999998
129,Innovative Solutions,Operations in finance,4709391.83,182355.55,6080391.8,4562504.92,564186.08,1255962.71,3658606.9560000002,Manufacturing,4527036.28,1517886.88
130,Green Group,Operations in healthcare,2980771.61,1059490.538,9321746.12,2230597.55,1353951.16,1805588.27,1623763.35,Healthcare,1921281.072,7091148.569999999
131,Future International,Operations in technology,2770327.42,2166334.87,5957861.43,665916.92,739672.532,1640568.27,4431833.78,Manufacturing,603992.5499999998,5291944.51
132,Innovative Technologies,Operations in healthcare,4377748.99,1019132.83,7231693.38,3773987.87,1094796.01,2447367.19,4007686.47,Retail,3358616.16,3457705.51
133,Innovative International,Operations in retail,237993.22,995479.65,7078947.07,1048320.99,795406.76,2921147.95,1165252.41,Finance,-757486.43,6030626.08
134,Innovative Enterprises,Operations in healthcare,3652655.21,2490328.11,2804414.88,1079034.12,1364777.67,1801767.2,2694309.6,Healthcare,1162327.1,1725380.7599999998
135,Dynamic Holdings,Operations in retail,4579896.44,304893.35,4649013.876,336166.37,681035.15,776811.31,1499370.93,Finance,4275003.090000001,4312847.506
136,Zenith Enterprises,Operations in manufacturing,2944539.06,165866.98,3805229.94,1620888.142,760394.59,504164.56,1284758.06,Manufacturing,2778672.08,2184341.798
137,Quantum Solutions,Operations in healthcare,894581.01,1426834.6,1841600.33,785879.28,761238.85,2678034.24,1045521.04,Finance,-532253.5900000001,1055721.05
138,Dynamic Motors,Operations in retail,2352973.82,2934538.59,3904024.2300000004,1557595.69,1738671.93,2688725.7,445799.75,Technology,-581564.77,2346428.5400000005
139,Alpha Systems,Operations in finance,2931596.11,979858.72,8119563.31,2085282.32,1001118.93,1180964.26,2193701.03,Retail,1951737.39,6034280.989999999
140,Quantum Enterprises,Operations in healthcare,448434.47,1748276.6759999997,2568967.39,818261.14,46319.57,2856668.72,2313655.34,Technology,-1299842.2059999998,1750706.25
141,Green Systems,Operations in retail,2264982.23,2940584.42,4751484.3,4483891.86,1415562.09,2504475.99,1212487.32,Manufacturing,-675602.19,267592.4399999995
142,Dynamic Logistics,Operations in technology,883537.69,1105045.33,2287285.99,1077083.37,1382269.77,608994.81,2670833.98,Manufacturing,-221507.64000000013,1210202.62
143,Dynamic Enterprises,Operations in technology,4163207.44,296021.89,4945321.35,4320112.06,268095.49,1203825.26,4072410.28,Healthcare,3867185.55,625209.29
144,Innovative Enterprises,Operations in finance,4339673.15,2438265.18,9271760.07,2396759.05,1005074.87,2199731.89,3906973.31,Technology,1901407.9700000002,6875001.0200000005
145,Quantum Enterprises,Operations in retail,2843312.03,1961666.65,6840847.83,503888.03,299376.88,2010608.13,424034.41,Finance,881645.3799999999,6336959.8
146,Tech Motors,Operations in technology,1016471.99,919524.18,2154699.7,2256143.4080000003,1506987.12,2876719.62,1785507.85,Retail,96947.80999999994,-101443.7080000001
147,Zenith Group,Operations in retail,1759634.69,648777.14,9241236.02,2665869.39,401733.63,1099757.98,2838948.6639999994,Technology,1110857.5499999998,6575366.629999999
148,Alpha Enterprises,Operations in healthcare,3208416.03,22188.3,9091900.25,2611599.8,810761.14,2970167.39,1374455.88,Technology,3186227.73,6480300.45
149,Dynamic Systems,Operations in manufacturing,678925.73,1190715.6300000001,796370.39,1240144.97,239670.38,2444987.76,4841403.36,Retail,-511789.90000000014,-443774.57999999996
150,Dynamic Enterprises,Operations in manufacturing,4344231.21,2947803.35,3605766.054,1998722.06,811014.18,1685365.2380000004,3106833.2019999996,Finance,1396427.8599999999,1607043.994
151,Green International,Operations in manufacturing,4901030.71,150162.43,4526599.4,422193.98,980971.37,707920.62,3857833.4,Technology,4750868.28,4104405.4200000004
152,Alpha Logistics,Operations in technology,1309106.22,142843.44,1076211.43,3789243.06,824339.73,230638.45,2442420.1,Technology,1166262.78,-2713031.63
153,Future Technologies,Operations in retail,4977469.64,1998101.03,1649787.95,2655743.26,1454469.74,1309698.44,3525693.37,Finance,2979368.6099999994,-1005955.3099999998
154,Innovative Solutions,Operations in technology,2896601.1,2312193.47,4930348.8,3899047.98,549945.65,1791637.93,2514890.25,Finance,584407.6299999999,1031300.8199999998
155,Green Group,Operations in healthcare,73807.52,2685024.24,4603772.492000001,3754708.34,1188224.9719999998,367347.27,2199278.72,Technology,-2611216.72,849064.1520000007
156,Quantum International,Operations in finance,2222479.37,959609.87,7366869.43,2748468.4800000004,491139.37,501914.59,2535772.7660000003,Technology,1262869.5,4618400.949999999
157,Dynamic Motors,Operations in retail,4269393.06,1680554.76,3058245.12,730177.2,327499.87,1039668.68,2400990.0,Manufacturing,2588838.3,2328067.92
158,Green International,Operations in healthcare,2738560.05,1325264.75,2901642.33,568044.46,1540308.31,1616309.12,2233178.098,Finance,1413295.2999999998,2333597.87
159,Pinnacle International,Operations in finance,1401459.49,2508810.78,3835125.0,1178742.2,40429.72,1183754.11,194954.93,Healthcare,-1107351.2899999998,2656382.8
160,Pinnacle International,Operations in finance,1191887.95,1277874.32,4477447.21,2900214.39,807354.33,2413502.12,3918864.93,Finance,-85986.37000000011,1577232.8199999998
161,Quantum Logistics,Operations in manufacturing,3260040.65,1088007.278,6354270.57,4917388.5,703278.9,2262343.33,2024520.5,Retail,2172033.372,1436882.0700000003
162,Dynamic Systems,Operations in retail,1109460.71,2002111.35,7832234.27,2464266.38,32253.12,130129.53,2002822.8400000003,Finance,-892650.6400000001,5367967.89
163,Alpha Group,Operations in finance,4546244.86,2763561.88,3429749.15,2008451.02,12752.01,2486805.18,520191.01,Retail,1782682.9800000004,1421298.13
164,Zenith Solutions,Operations in finance,2552649.69,1707938.15,2464385.77,1997363.58,1011206.22,2077198.03,2387105.9699999997,Technology,844711.54,467022.18999999994
165,Green Enterprises,Operations in retail,4198341.26,2046060.0,5778156.14,2811900.14,574607.0,715654.54,4617397.02,Technology,2152281.26,2966255.9999999995
166,Global Systems,Operations in retail,2725936.81,1764155.8739999998,3485935.98,4250351.81,321179.4,2428322.04,2976396.04,Technology,961780.9360000002,-764415.8299999996
167,Quantum Systems,Operations in technology,125835.21,2605706.61,4453359.88,685410.35,102726.66,552795.77,2239938.812,Finance,-2479871.4,3767949.53
168,Zenith Group,Operations in retail,3240198.03,534691.03,4433557.33,1594768.55,1819830.18,58888.67,678280.34,Finance,2705507.0,2838788.7800000003
169,Global Solutions,Operations in technology,183569.02,413930.21,4450090.56,2691270.48,518528.27,1642068.45,4741365.24,Finance,-230361.19000000003,1758820.0799999996
170,Pinnacle Enterprises,Operations in finance,1770550.53,2390192.15,9112127.82,4637483.03,1464710.91,2458944.61,296384.86,Retail,-619641.6199999999,4474644.79
171,Alpha Systems,Operations in healthcare,2405117.74,692574.47,4973813.64,4906758.09,1784225.64,1661262.45,3077515.44,Manufacturing,1712543.2700000003,67055.54999999981
172,Pinnacle Group,Operations in technology,1536733.8,1629739.32,9191054.18,128077.6,514716.69,2645043.48,53747.93,Healthcare,-93005.52000000002,9062976.58
173,Quantum Systems,Operations in technology,3520514.79,2463792.44,5515566.22,2745651.41,941830.6219999999,1246456.07,1554897.22,Manufacturing,1056722.35,2769914.8099999996
174,Future Systems,Operations in technology,3592235.97,2372431.12,7341679.522,3093403.99,1295001.56,182004.79,4977102.16,Manufacturing,1219804.85,4248275.532
